Sl. No.,Size of plot (x),Width,Length,No: of plots($w$),Vx,C.V
1,1,1,1,150,5 577.88,9.1
2,2,2,1,75,4 427.18,8.1
3,3,1,3,50,3 733.36,7.5
4,5,1,5,30,2 213.82,5.7
5,5,5,1,30,3 066.42,6.8
6,6,2,3,25,3 316.61,7
7,10,2,5,15,2 003.03,5.5
8,15,5,3,10,2 268.41,5.8
9,25,5,5,6,1 468.24,4.7
